date,value
1930-01-01,1
1931-01-01,1
1932-01-01,1
1933-01-01,0
1934-01-01,0
1935-01-01,0
1936-01-01,0
1937-01-01,1
1938-01-01,1
1939-01-01,0
1940-01-01,0
1941-01-01,1
1942-01-01,1
1943-01-01,0
1944-01-01,2
1945-01-01,0
1946-01-01,0
1947-01-01,1
1948-01-01,1
1949-01-01,2
1950-01-01,3
1951-01-01,0
1952-01-01,1
1953-01-01,3
1954-01-01,1
1955-01-01,3
1956-01-01,5
1957-01-01,4
1958-01-01,6
1959-01-01,1
1960-01-01,6
1961-01-01,9
1962-01-01,6
1963-01-01,10
1964-01-01,9
1965-01-01,10
1966-01-01,7
1967-01-01,13
1968-01-01,13
1969-01-01,19
1970-01-01,28
1971-01-01,22
1972-01-01,33
1973-01-01,31
1974-01-01,37
1975-01-01,46
1976-01-01,42
1977-01-01,67
1978-01-01,83
1979-01-01,48
1980-01-01,73
1981-01-01,44
1982-01-01,51
1983-01-01,47
1984-01-01,36
1985-01-01,34
1986-01-01,51
1987-01-01,38
1988-01-01,37
1989-01-01,31
1990-01-01,42
1991-01-01,44
1992-01-01,32
1993-01-01,45
1994-01-01,60
1995-01-01,50
1996-01-01,56
1997-01-01,83
1998-01-01,82
1999-01-01,68
2000-01-01,151
2001-01-01,137
2002-01-01,107
2003-01-01,158
2004-01-01,252
2005-01-01,225
2006-01-01,193
2007-01-01,174
2008-01-01,150
2009-01-01,126
2010-01-01,104
2011-01-01,125
2012-01-01,143
2013-01-01,122
2014-01-01,100
2015-01-01,78
2016-01-01,62
2017-01-01,61
2018-01-01,50
2019-01-01,33
2020-01-01,65
2021-01-01,48
